﻿Type dépense;Mission;Numéro programme;Programme;Code action (si crédit budgétaire);Action (si crédit budgétaire);Affectataire (si taxe affectée);Impôt (si dépense fiscale);Code dépense;Libellé;Atténuation climat;Adaptation climat;Eau;Déchets;Pollutions;Biodiversité;Cotation globale;% 2024 (si différent de 100);% 2025 (si différent de 100);% 2026 (si différent de 100);Catégorie générale;"Exécution 2024
(CP)";"LFI 2025
(CP)
(ou prévision 2025 si dépense fiscale)";"PLF 2026
(CP)
(ou prévision 2026 si dépense fiscale)";"Dépenses fiscales : "" ε "" montant inférieur à 0,5 M€, "" nc "" montant non calculé en prévision 2026"
Dépenses fiscales;Outre-mer;123;Conditions de vie outre-mer;;;;Impôt sur le revenu;110224;Réduction d'impôt sur le revenu à raison des investissements productifs réalisés dans les départements et collectivités d'outre-mer;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;775000000.0;825000000.0;831000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Taxe sur la valeur ajoutée;730221;Taux de 10% pour la restauration commerciale (consommation sur place et vente à emporter en vue d'une consommation immédiate);0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;2025000000.0;2035000000.0;2275000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu;140126;Exonération temporaire à hauteur de 50 % des revenus de capitaux mobiliers perçus à l'étranger par des personnes physiques impatriées;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;6000000.0;6000000.0;6000000.0;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Impôt sur le revenu;130217;"Déduction des intérêts d'emprunt supportés par les nus-propriétaires de logements dont l'usufruit est détenu temporairement par un bailleur social (opérations ""d'usufruit locatif social"")";;;;;;;NC;;;;Dépenses fiscales;3000000.0;3000000.0;3000000.0;
Dépenses fiscales;Engagements financiers de l'État;145;Épargne;;;;Impôt sur le revenu;120506;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;6000000.0;6000000.0;6000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôt sur le revenu;170306;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;11000000.0;11000000.0;11000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Accise sur les énergies;800226;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de certaines activités extractives soumises à une forte concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);-1;0;0;0;-1;0;Défavorable;;;;Transports;;18000000.0;18000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;;;;Autres droits;940203;Minoration du montant de la taxe de manière à ce que, cumulé avec le malus CO2, il n’excède pas le montant maximal dudit malus;-1;0;0;-1;-1;0;Défavorable;;;;Transports;13000000.0;4000000.0;4000000.0;
Dépenses fiscales;Santé;204;Prévention, sécurité sanitaire et offre de soins;;;;Impôt sur le revenu;160301;Déduction forfaitaire au titre du groupe III déclarée par les médecins conventionnés;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;31000000.0;37000000.0;37000000.0;
Dépenses fiscales;Économie;305;Stratégies économiques;;;;Impôt sur le revenu et impôt sur les sociétés;230411;Provision pour risque d’intervention du fonds de garantie des dépôts et de résolution;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;60000000.0;1000000.0;1000000.0;
Dépenses fiscales;Direction de l'action du Gouvernement;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;;;;Droits d'enregistrement et de timbre;520130;Exonération de droits de mutation par décès de la transmission résultant des restitutions aux ayants-droit du défunt des biens qui lui ont été spoliés dans le contexte des persécutions antisémites perpétrées entre le 30 janvier 1933 et le 8 mai 1945;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Dépenses fiscales;Sécurités;161;Sécurité civile;;;;Accise sur les énergies;800120;Tarif réduit (nul) pour les gazoles et essences consommés pour les besoins de la propulsion des véhicules d’incendie et de secours;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;20000000.0;20000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôt sur le revenu;170108;Provision pour augmentation de la valeur des stocks de vaches laitières et allaitantes;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;46000000.0;46000000.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;103-02;Formation professionnelle des demandeurs d'emploi;;;103-02-01;Formation des demandeurs d'emploi aux métiers recrutant sur le marché du travail;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;1975869021.78;1060546258.0;751858129.0;
Crédits budgétaires;Cohésion des territoires;109;Aide à l'accès au logement;109-02;Information relative au logement et accompagnement des publics en difficulté;;;109-02;Information relative au logement et accompagnement des publics en difficulté;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;9211733.0;9400000.0;9400000.0;
Crédits budgétaires;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;113-07;Gestion des milieux et biodiversité;;;113-07-318;Eau et ressources minérales;2;2;3;0;3;3;Favorable;;;;Ressources naturelles;19421122.459999997;25092319.0;24182649.0;
Crédits budgétaires;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires et sociales;124-11;Systèmes d'information;;;124-11;Systèmes d'information;;;;;;;NC;;;;Non coté - autres;73532647.1;;;
Crédits budgétaires;Enseignement scolaire;139;Enseignement privé du premier et du second degrés;139-08;Actions sociales en faveur des élèves;;;139-08;Actions sociales en faveur des élèves;0;0;0;0;0;0;Neutre;;;;Éducation;80781149.99;84625725.0;84318870.0;
Crédits budgétaires;Enseignement scolaire;141;Enseignement scolaire public du second degré;141-07;Aide à l'insertion professionnelle;;;141-07;Aide à l'insertion professionnelle;0;0;0;0;0;0;Neutre;;;;Éducation;50988031.37;64030235.0;65002377.0;
Crédits budgétaires;Enseignement scolaire;143;Enseignement technique agricole;143-04;Mise en œuvre de l'enseignement agricole dans les territoires;;;143-04;Mise en œuvre de l'enseignement agricole dans les territoires;0;0;0;0;0;0;Neutre;;;;Éducation;5511460.21;4312828.0;5312828.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-07;Commandement et maîtrise de l'information;;;146-07-25;Commander et conduire - Système d'information TERRE;0;0;0;0;0;0;Neutre;;;;Régalien;53344100.849999994;55577730.0;43716480.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-07;Commandement et maîtrise de l'information;;;146-07-28;Commander et conduire - Autres opérations;0;0;0;0;0;0;Neutre;;;;Régalien;25936245.51;96384603.0;218176377.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-08;Projection - mobilité - soutien;;;146-08-47;Assurer la mobilité - Hélicoptère NH 90;0;0;0;0;0;0;Neutre;;;;Régalien;350888929.03999996;238920145.0;365106394.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-09;Engagement et combat;;;146-09-84;Opérer en milieu hostile - MAST-F;0;0;0;0;0;0;Neutre;;;;Régalien;2596371.33;3697785.0;29341266.0;
Crédits budgétaires;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;149-27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;149-27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;0;0;0;0;0;0;Neutre;;;;Neutre - autres;494182105.61;437533748.0;474435000.0;
Crédits budgétaires;Sécurités;152;Gendarmerie nationale;152-03;Missions de police judiciaire et concours à la justice;;;152-03-02;Missions de police judiciaire et concours à la justice - administration centrale et cabinet;0;0;0;0;0;0;Neutre;;;;Régalien;10501783.81;10385535.0;10764153.0;
Crédits budgétaires;Conseil et contrôle de l'État;164;Haut Conseil des finances publiques;164-21;Examen des comptes publics;;;164-21;Examen des comptes publics;0;0;0;0;0;0;Neutre;;;;Neutre - autres;51805887.19;53290761.0;53976535.0;
Crédits budgétaires;Justice;166;Justice judiciaire;166-02;Conduite de la politique pénale et jugement des affaires pénales;;;166-02;Conduite de la politique pénale et jugement des affaires pénales;0;0;0;0;0;0;Neutre;;;;Régalien;1538472683.44;1605539319.0;1653517405.0;
Crédits budgétaires;Monde combattant, mémoire et liens avec la Nation;169;Liens entre la Nation et son armée;169-09;Politique de mémoire;;;169-09-01;Mémoire & patrimoine mémoriel;0;0;0;0;0;0;Neutre;;;;Régalien;31954612.93;31392419.0;24065320.0;
Crédits budgétaires;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;172-11;Recherches interdisciplinaires et transversales;;;172-11;Recherches interdisciplinaires et transversales;0;0;0;0;0;0;Neutre;;;;Neutre - autres;80709767.0;83838180.0;81931880.0;
Crédits budgétaires;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;172-19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales;;;172-19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales;0;0;0;0;0;0;Neutre;;;;Neutre - autres;438007070.0;455914000.0;444972030.0;
Crédits budgétaires;Sécurités;176;Police nationale;176-05;Missions de police judiciaire et concours à la justice;;;176-05-02;Missions de police judiciaire et concours à la justice - Hors administration centrale et cabinets;0;0;0;0;0;0;Neutre;;;;Régalien;2936507728.11;3051265160.0;3173086906.0;
Crédits budgétaires;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;185-09;Mobilité étudiante;;;185-09;Mobilité étudiante;0;0;0;0;0;0;Neutre;;;;Neutre - autres;;;56272657.0;
Crédits budgétaires;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190-12;Recherche dans le domaine des transports, de la construction et de l'aménagement;;;190-12-01;Université Gustave Eiffel;2;2;2;2;2;0;Favorable;;;;Bâtiments;1454521.0;;;
Crédits budgétaires;Recherche et enseignement supérieur;193;Recherche spatiale;193-01;Développement de la technologie spatiale au service de la science;;;193-01;Développement de la technologie spatiale au service de la science;0;0;0;0;0;0;Neutre;;;;Neutre - autres;232506584.36;279000554.0;284598500.0;
Crédits budgétaires;Écologie, développement et mobilité durables;205;Affaires maritimes, pêches et aquaculture;205-08;Planification et économie bleue;;;205-08-02;Planification et économie bleue - plaisance et littoral;0;0;0;0;0;0;Neutre;;;;Neutre - autres;3828660.130000001;7469146.0;10232790.0;
Crédits budgétaires;Défense;212;Soutien de la politique de la défense;212-54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";;;212-54-06;Renseignement d'intérêt militaire;0;0;0;0;0;0;Neutre;;;;Régalien;170134707.44;182515273.0;179270979.0;
Crédits budgétaires;Enseignement scolaire;214;;;;;;214-10;Transports scolaires - aérien;-1;0;0;0;-1;0;Défavorable;0.3095219383518815;0.3095219383518815;0.3095219383518815;Transports;1043859.8090141836;1028493.4252428578;1028493.4252428578;
Crédits budgétaires;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;216-09;Sécurité et éducation routières;;;216-09;Sécurité et éducation routières;0;0;0;0;0;0;Neutre;;;;Régalien;134008930.16;131987750.0;133126769.0;
Crédits budgétaires;Gestion des finances publiques;218;Conduite et pilotage des politiques économiques et financières;218-05;Prestations d'appui et support;;;218-05;Prestations d'appui et support;0;0;0;0;0;0;Neutre;;;;Neutre - autres;392563150.62999994;395163201.0;411118803.0;
Crédits budgétaires;Sport, jeunesse et vie associative;219;Sport;219-02;Développement du sport de haut niveau;;;219-02;Développement du sport de haut niveau;0;0;0;0;0;0;Neutre;;;;Neutre - autres;268279480.83;313126346.0;325081205.0;
Crédits budgétaires;Recherche et enseignement supérieur;231;Vie étudiante;231-02;Aides indirectes;;;231-02;Aides indirectes;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;464443391.72999996;499959550.0;507047217.0;
Crédits budgétaires;Transformation et fonction publiques;348;Performance et résilience des bâtiments de l’État et de ses opérateurs;348-14;Résilience;;;348-14;Résilience;3;2;0;0;0;0;Favorable;;;;Bâtiments;128988741.96000001;54747303.0;40359999.0;
Crédits budgétaires;Écologie, développement et mobilité durables - Plan de relance;362;Écologie - mise en extinction du plan de relance;362-09;Dotation régionale d'investissement;;;362-09;Dotation régionale d'investissement;3;2;0;0;0;0;Favorable;;;;Plan de relance;67890775.24;;;
Crédits budgétaires;Santé;379;Compensation à la Sécurité sociale du coût des dons de vaccins à des pays tiers et reversement des recettes de la Facilité pour la Relance et la Résilience (FRR) européenne au titre du volet « Ségur investissement » du plan national de relance et de résilience (PNRR);379-02;Ségur investissement du PNRR;;;379-02;Ségur investissement du PNRR;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;906900000.0;54000000.0;242000000.0;
Crédits budgétaires;Investir pour la France de 2030;424;Financement des investissements stratégiques;424-03;Démonstration en conditions réelles, amorçage et premières commerciales;;;424-03;Démonstration en conditions réelles, amorçage et premières commerciales - DGAC favorable;1;0;0;0;1;0;Favorable;0.20114075792634353;0.3;0.3468091493546772;Industrie;209988673.0;320000000.0;277150000.0;
Crédits budgétaires;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;614-01;Développement durable et régulation;;;614-01;Développement durable et régulation;0;0;0;0;0;0;Neutre;;;;Neutre - autres;17562308.11;18498772.0;18078772.0;
Crédits budgétaires;Gestion du patrimoine immobilier de l'État;723;Opérations immobilières et entretien des bâtiments de l'État;723-13;Maintenance à la charge du propriétaire;;;723-13;Maintenance à la charge du propriétaire;0;0;0;0;0;0;Neutre;;;;Neutre - autres;62718914.1;45000000.0;64000000.0;
Crédits budgétaires;Avances à l'audiovisuel public;841;France Télévisions;841-01;France Télévisions;;;841-01;France Télévisions;0;0;0;0;0;0;Neutre;;;;Neutre - autres;2523106868.0;2505827000.0;2440577000.0;
Crédits budgétaires;Avances à l'audiovisuel public;848;Programme de transformation;848-04;France Médias Monde;;;848-04;France Médias Monde;0;0;0;0;0;0;Neutre;;;;Neutre - autres;1376814.0;;;
Crédits budgétaires;Gestion des finances publiques;302;Facilitation et sécurisation des échanges;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Régalien;-7254614.15;;;
Crédits budgétaires;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;FDC/ADP;Fonds de concours et attributions de produits;;;FDC/ADP;Fonds de concours et attributions de produits;0;0;0;0;0;0;Neutre;;;;Régalien;-1685568.6800000002;;;
Crédits budgétaires;Audiovisuel public;372;France Télévisions;MP/MT - LFI 2025;MP/MT - Mesure de périmètre/transfert - LFI 2025;;;MP/MT - LFI 2025;MP/MT - Mesure de périmètre/transfert - LFI 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-2548827000.0;;;
Crédits budgétaires;Avances à l'audiovisuel public;841;France Télévisions;MP/MT - LFI 2025;MP/MT - Mesure de périmètre/transfert - LFI 2025;;;MP/MT - LFI 2025;MP/MT - Mesure de périmètre/transfert - LFI 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;2548827000.0;;;
Crédits budgétaires;Outre-mer;123;Conditions de vie outre-mer;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;300000.0;;;
Crédits budgétaires;Écologie, développement et mobilité durables;159;Expertise, information géographique et météorologie;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-114245.0;;;
Crédits budgétaires;Conseil et contrôle de l'État;164;Haut Conseil des finances publiques;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-2016988.0;;;
Crédits budgétaires;Culture;224;Soutien aux politiques du ministère de la culture;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-175628.0;;;
Crédits budgétaires;Audiovisuel public;376;Institut national de l'audiovisuel;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;;;MP/MT - PLF 2025;MP/MT - Mesure de périmètre/transfert - PLF 2025;0;0;0;0;0;0;Neutre;;;;Neutre - autres;103913354.0;;;
Crédits budgétaires;Cohésion des territoires;147;Politique de la ville;T2_CAS;T2 - contribution au CAS;;;T2_CAS;T2 - contribution au CAS;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;;-5338328.0;-5338328.0;
Crédits budgétaires;Transformation et fonction publiques;368;Conduite et pilotage de la transformation et de la fonction publiques;T2_CAS;T2 - contribution au CAS;;;T2_CAS;T2 - contribution au CAS;0;0;0;0;0;0;Neutre;;;;Neutre - autres;-6727804.46;-9512158.0;-8198065.0;
Taxes affectées plafonnées;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;;Agence de financement des infrastructures de transport de France (AFITF);;AFF18;AFITF Régénération et modernisation du réseau routier;0;0;0;0;0;0;Neutre;0.17362049893009188;0.20004171304590296;0.20004171304590296;Neutre - autres;515562423.11174333;511648683.8733851;591547935.6043112;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Impôt sur le revenu;110251;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;0;0;0;0;0;0;Neutre;0.8;0.8;0.8;Dépenses fiscales;27200000.0;24000000.0;30400000.0;
Dépenses fiscales;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;;;;Impôt sur le revenu et impôt sur les sociétés;210313;"Crédits d'impôt ""Prêt à taux zéro"" et ""Prêt à taux zéro renforcé PTZ+""";0;0;0;0;0;0;Neutre;0.84;0.84;0.84;Dépenses fiscales;547680000.0;585480000.0;703920000.0;
Dépenses fiscales;Justice;101;Accès au droit et à la justice;;;;Impôt sur le revenu;110308;Décharge de paiement d'impôt sur le revenu en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Dépenses fiscales;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;;;;Impôt sur le revenu;120129;Exonération de l'aide financière versée par l'Etat aux créateurs ou repreneurs d'entreprises (art. L. 5141-2 du code du travail);0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Droits d'enregistrement et de timbre;530215;Exonération des acquisitions de droits sociaux de sociétés en difficulté ou entre sociétés d’un même groupe;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;nc
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu et impôt sur les sociétés;210332;Faculté temporaire de déduction fiscale de l’amortissement du fonds commercial;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;14000000.0;15000000.0;15000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu;150515;Abattement fixe applicable aux cessions de titres ou droits par les dirigeants de PME partant à la retraite;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;84000000.0;78000000.0;75000000.0;
Dépenses fiscales;Économie;134;Développement des entreprises et régulations;;;;Impôt sur le revenu;110245;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP) investis dans les entreprises corses;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;6000000.0;10000000.0;10000000.0;
Dépenses fiscales;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;;;;Impôt sur le revenu et impôt sur les sociétés;220109;Exonération d’impôt sur les bénéfices pour les entreprises créées ou reprises dans les zones France Ruralités Revitalisation (FRR);0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;5000000.0;60000000.0;
Dépenses fiscales;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;;;;Impôt sur les sociétés;300201;Exonération des revenus patrimoniaux des établissements publics scientifiques, d'enseignement et d'assistance pour leurs revenus fonciers agricoles et mobiliers;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;
Dépenses fiscales;Engagements financiers de l'État;145;Épargne;;;;Impôt sur le revenu;120503;Imposition, sous certaines conditions, aux taux forfaitaires de 41%, 30 % ou 18 % des gains de levée d'options de souscription ou d'achat d'actions attribuées avant le 28 septembre 2012;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;5000000.0;6000000.0;6000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôt sur le revenu;170307;Report d'imposition de l'indemnité destinée à couvrir les dommages causés aux récoltes par des évènements climatiques à l'exercice de constatation de cette perte;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;ε
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Impôts locaux;60102;Exonération de la part communale et intercommunale en faveur des terres agricoles à concurrence de 20 %;2;2;2;0;0;2;Favorable;;;;Agriculture;101000000.0;100000000.0;150000000.0;
Dépenses fiscales;Sécurités;161;Sécurité civile;;;;Impôt sur le revenu;120123;Exonération des vacations horaires et des avantages retraite servis aux sapeurs-pompiers volontaires;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;79000000.0;79000000.0;79000000.0;
Dépenses fiscales;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;;;;Impôt sur le revenu;110201;Réduction d'impôt au titre des dons;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;1990000000.0;2204000000.0;2204000000.0;
Dépenses fiscales;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;;;;Accise sur les énergies;800227;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de l'activité de manutention portuaire dans les ports maritimes et certains ports fluviaux exposés à la concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);-1;0;0;0;-1;0;Défavorable;;;;Transports;;11000000.0;11000000.0;
Dépenses fiscales;Médias, livre et industries culturelles;180;Presse et médias;;;;Impôts locaux;90110;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;5000000.0;5000000.0;5000000.0;
Dépenses fiscales;Santé;183;Protection maladie;;;;Impôt sur le revenu;120117;Exonération totale pour les prestations et rentes viagères servies aux victimes d'accidents du travail et de maladies professionnelles et à hauteur de 50 % pour les indemnités temporaires;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;521000000.0;533000000.0;533000000.0;
Dépenses fiscales;Sport, jeunesse et vie associative;219;Sport;;;;Impôt sur le revenu;160303;Déduction des dépenses exposées par les sportifs en vue de l'obtention d'un diplôme ou d'une qualification pour leur insertion ou conversion professionnelle;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;;;
Dépenses fiscales;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;;;;Impôt sur le revenu;110110;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;849000000.0;865000000.0;865000000.0;
Dépenses fiscales;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;;;;Impôt sur le revenu;110271;Réduction d’impôt sur le revenu au titre des souscriptions au capital de jeunes entreprises innovantes qui réalisent un pourcentage de dépenses de recherche supérieur à 30 %;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;;17000000.0;20000000.0;
Dépenses fiscales;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;;;;Taxe sur la valeur ajoutée;730235;Taux de 5,5 % pour l'enseignement et la pratique de l’équitation, les animations et les activités de démonstration aux fins de découverte de l'environnement équestre et de familiarisation avec celui-ci ainsi que l'accès aux installations sportives destinées à l'utilisation des équidés;0;0;0;0;0;0;Neutre;;;;Dépenses fiscales;49000000.0;55000000.0;61000000.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;103;Accompagnement des mutations économiques et développement de l'emploi;103-01;Développement des compétences par l'alternance;;;103-01-02;Aides aux employeurs d'apprentis;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;3973377287.87;3432537422.0;2368652187.0;
Crédits budgétaires;Aide publique au développement;110;Aide économique et financière au développement;110-03;Traitement de la dette des pays pauvres;;;110-03;Traitement de la dette des pays pauvres;0;0;0;0;0;0;Neutre;;;;Neutre - autres;114993867.88;52680432.0;93423770.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;111;Amélioration de la qualité de l'emploi et des relations du travail;111-01;Santé et sécurité au travail;;;111-01;Santé et sécurité au travail;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;24653140.689999998;26423275.0;24632187.0;
Crédits budgétaires;Travail, emploi et administration des ministères sociaux;111;Amélioration de la qualité de l'emploi et des relations du travail;111-03;Dialogue social et démocratie sociale;;;111-03;Dialogue social et démocratie sociale;0;0;0;0;0;0;Neutre;;;;Politiques de l'emploi;63581395.12;45191981.0;41201983.0;
Crédits budgétaires;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;112-12;FNADT section générale;;;112-12;FNADT section générale;0;0;0;0;0;0;Neutre;;;;Neutre - autres;153482452.83999997;129717107.0;115557239.0;
Crédits budgétaires;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires et sociales;124-23;Politique des ressources humaines;;;124-23;Politique des ressources humaines;0;0;0;0;0;0;Neutre;;;;Transferts sociaux, politiques sociales et de santé;21583021.669999998;;;
Crédits budgétaires;Défense;146;Équipement des forces;146-07;Commandement et maîtrise de l'information;;;146-07-27;Commander et conduire - Géographie numérique;0;0;0;0;0;0;Neutre;;;;Régalien;78185351.74;76594103.0;85903566.0;
Crédits budgétaires;Défense;146;Équipement des forces;146-09;Engagement et combat;;;146-09-62;Frapper à distance - SCAF;0;0;0;0;0;0;Neutre;;;;Régalien;479753115.13;295246722.0;454516593.0;
Crédits budgétaires;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;150-01;Formation initiale et continue du baccalauréat à la licence;;;150-01;Formation initiale et continue du baccalauréat à la licence;0;0;0;0;0;0;Neutre;;;;Éducation;4100607471.77;4003081172.0;4037687433.0;
